"train/global_step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward__MAX"
"30","869","869","869","0.7243572473526001","0.7243572473526001","0.7243572473526001","509","509","509","0.4258386194705963","0.4258386194705963","0.4258386194705963"
"31","898","898","898","0.8608207702636719","0.8608207702636719","0.8608207702636719","526","526","526","0.47189512848854065","0.47189512848854065","0.47189512848854065"
"32","927","927","927","0.7997111082077026","0.7997111082077026","0.7997111082077026","543","543","543","0.4324920177459717","0.4324920177459717","0.4324920177459717"
"33","956","956","956","0.7150974273681641","0.7150974273681641","0.7150974273681641","560","560","560","0.5306028127670288","0.5306028127670288","0.5306028127670288"
"34","985","985","985","0.8048748970031738","0.8048748970031738","0.8048748970031738","577","577","577","0.5746219158172607","0.5746219158172607","0.5746219158172607"
"35","1014","1014","1014","0.7545331120491028","0.7545331120491028","0.7545331120491028","594","594","594","0.5718121528625488","0.5718121528625488","0.5718121528625488"
"36","1043","1043","1043","0.8614046573638916","0.8614046573638916","0.8614046573638916","611","611","611","0.46919888257980347","0.46919888257980347","0.46919888257980347"
"37","1072","1072","1072","0.876622200012207","0.876622200012207","0.876622200012207","628","628","628","0.6506398320198059","0.6506398320198059","0.6506398320198059"
"38","1101","1101","1101","0.8555781841278076","0.8555781841278076","0.8555781841278076","645","645","645","0.4960283041000366","0.4960283041000366","0.4960283041000366"
"39","1130","1130","1130","0.9226766228675842","0.9226766228675842","0.9226766228675842","662","662","662","0.5898250341415405","0.5898250341415405","0.5898250341415405"
