"train/global_step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - train/reward__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - train/reward__MAX"
"96","5881.5","1631","10132","0.9481655061244965","0.9452763199806213","0.9510546922683716","2783","2783","2783","0.965646505355835","0.965646505355835","0.965646505355835"
"97","5898.5","1648","10149","0.9280903339385986","0.9160999059677124","0.9400807619094849","2812","2812","2812","0.9700927734375","0.9700927734375","0.9700927734375"
"98","5915.5","1665","10166","0.9197087287902832","0.8931776881217957","0.9462397694587708","2841","2841","2841","0.9683576822280884","0.9683576822280884","0.9683576822280884"
"99","5932.5","1682","10183","0.9279158711433411","0.9214083552360535","0.9344233870506287","2870","2870","2870","0.9704784154891968","0.9704784154891968","0.9704784154891968"
"100","5949.5","1699","10200","0.9272013306617737","0.9253976941108704","0.929004967212677","2899","2899","2899","0.971149742603302","0.971149742603302","0.971149742603302"
"101","5966.5","1716","10217","0.9490927457809448","0.9418984651565552","0.9562870264053345","2928","2928","2928","0.9702306985855103","0.9702306985855103","0.9702306985855103"
"102","5983.5","1733","10234","0.9413670003414154","0.9411911964416504","0.9415428042411804","2957","2957","2957","0.9707906246185303","0.9707906246185303","0.9707906246185303"
"103","6000.5","1750","10251","0.9506639838218689","0.9445482492446899","0.9567797183990479","2986","2986","2986","0.971149742603302","0.971149742603302","0.971149742603302"
"104","6017.5","1767","10268","0.937952995300293","0.9306339025497437","0.9452720880508423","3015","3015","3015","0.971149742603302","0.971149742603302","0.971149742603302"
"105","6034.5","1784","10285","0.9350873827934265","0.9262396097183228","0.9439351558685303","3044","3044","3044","0.9688898324966431","0.9688898324966431","0.9688898324966431"
"106","6051.5","1801","10302","0.9113640189170837","0.8980789184570312","0.9246491193771362","3073","3073","3073","0.971149742603302","0.971149742603302","0.971149742603302"
