"train/global_step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756174705 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756174705 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756174705 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756174705 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756174705 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756174705 - train/reward__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756174399 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756174399 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756174399 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756174399 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756174399 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756174399 - train/reward__MAX"
"1","16","16","16","0.6172453761100769","0.6172453761100769","0.6172453761100769","28","28","28","0.5480421185493469","0.5480421185493469","0.5480421185493469"
"2","33","33","33","0.750705361366272","0.750705361366272","0.750705361366272","57","57","57","0.6793055534362793","0.6793055534362793","0.6793055534362793"
"3","50","50","50","0.692705512046814","0.692705512046814","0.692705512046814","86","86","86","0.5396468043327332","0.5396468043327332","0.5396468043327332"
"4","67","67","67","0.7550027370452881","0.7550027370452881","0.7550027370452881","115","115","115","0.6001848578453064","0.6001848578453064","0.6001848578453064"
"5","84","84","84","0.7253286838531494","0.7253286838531494","0.7253286838531494","144","144","144","0.5890997648239136","0.5890997648239136","0.5890997648239136"
"6","101","101","101","0.6064323782920837","0.6064323782920837","0.6064323782920837","173","173","173","0.6795174479484558","0.6795174479484558","0.6795174479484558"
"7","118","118","118","0.7090295553207397","0.7090295553207397","0.7090295553207397","202","202","202","0.6884810924530029","0.6884810924530029","0.6884810924530029"
"8","135","135","135","0.6906132698059082","0.6906132698059082","0.6906132698059082","231","231","231","0.591057300567627","0.591057300567627","0.591057300567627"
"9","152","152","152","0.6683540344238281","0.6683540344238281","0.6683540344238281","260","260","260","0.6310868263244629","0.6310868263244629","0.6310868263244629"
"10","169","169","169","0.7648966312408447","0.7648966312408447","0.7648966312408447","289","289","289","0.6620230674743652","0.6620230674743652","0.6620230674743652"
"11","186","186","186","0.6700730323791504","0.6700730323791504","0.6700730323791504","318","318","318","0.48388734459877014","0.48388734459877014","0.48388734459877014"
"12","203","203","203","0.7909591794013977","0.7909591794013977","0.7909591794013977","347","347","347","0.6629555225372314","0.6629555225372314","0.6629555225372314"
"13","220","220","220","0.6936187744140625","0.6936187744140625","0.6936187744140625","376","376","376","0.5554969310760498","0.5554969310760498","0.5554969310760498"
"14","237","237","237","0.7685279250144958","0.7685279250144958","0.7685279250144958","405","405","405","0.6046627759933472","0.6046627759933472","0.6046627759933472"
"15","254","254","254","0.743509829044342","0.743509829044342","0.743509829044342","434","434","434","0.6820036172866821","0.6820036172866821","0.6820036172866821"
"16","271","271","271","0.7870917320251465","0.7870917320251465","0.7870917320251465","463","463","463","0.6582028269767761","0.6582028269767761","0.6582028269767761"
"17","288","288","288","0.7259750962257385","0.7259750962257385","0.7259750962257385","492","492","492","0.6446716785430908","0.6446716785430908","0.6446716785430908"
"18","305","305","305","0.784517765045166","0.784517765045166","0.784517765045166","521","521","521","0.6464464664459229","0.6464464664459229","0.6464464664459229"
"19","322","322","322","0.7375844717025757","0.7375844717025757","0.7375844717025757","550","550","550","0.6669659614562988","0.6669659614562988","0.6669659614562988"
"20","339","339","339","0.8026387691497803","0.8026387691497803","0.8026387691497803","579","579","579","0.7024064064025879","0.7024064064025879","0.7024064064025879"
"21","356","356","356","0.7870743870735168","0.7870743870735168","0.7870743870735168","608","608","608","0.7309828996658325","0.7309828996658325","0.7309828996658325"
"22","373","373","373","0.8248474597930908","0.8248474597930908","0.8248474597930908","637","637","637","0.6229039430618286","0.6229039430618286","0.6229039430618286"
"23","390","390","390","0.9003169536590576","0.9003169536590576","0.9003169536590576","666","666","666","0.5849711894989014","0.5849711894989014","0.5849711894989014"
"24","407","407","407","0.8639159798622131","0.8639159798622131","0.8639159798622131","695","695","695","0.7025910019874573","0.7025910019874573","0.7025910019874573"
"25","424","424","424","0.8168517351150513","0.8168517351150513","0.8168517351150513","724","724","724","0.7256561517715454","0.7256561517715454","0.7256561517715454"
"26","441","441","441","0.8710319995880127","0.8710319995880127","0.8710319995880127","753","753","753","0.6937122344970703","0.6937122344970703","0.6937122344970703"
"27","458","458","458","0.9024832248687744","0.9024832248687744","0.9024832248687744","782","782","782","0.7740181684494019","0.7740181684494019","0.7740181684494019"
"28","475","475","475","0.8761777877807617","0.8761777877807617","0.8761777877807617","811","811","811","0.7552648782730103","0.7552648782730103","0.7552648782730103"
"29","492","492","492","0.9184010028839111","0.9184010028839111","0.9184010028839111","840","840","840","0.7771278619766235","0.7771278619766235","0.7771278619766235"
"30","509","509","509","0.7854304313659668","0.7854304313659668","0.7854304313659668","869","869","869","0.7273312211036682","0.7273312211036682","0.7273312211036682"
"31","526","526","526","0.9207059741020203","0.9207059741020203","0.9207059741020203","898","898","898","0.827479898929596","0.827479898929596","0.827479898929596"
"32","543","543","543","0.8770655393600464","0.8770655393600464","0.8770655393600464","927","927","927","0.7969814538955688","0.7969814538955688","0.7969814538955688"
"33","560","560","560","0.8992440700531006","0.8992440700531006","0.8992440700531006","956","956","956","0.7337491512298584","0.7337491512298584","0.7337491512298584"
"34","577","577","577","0.9518281817436218","0.9518281817436218","0.9518281817436218","985","985","985","0.7741144299507141","0.7741144299507141","0.7741144299507141"
"35","594","594","594","0.916535496711731","0.916535496711731","0.916535496711731","1014","1014","1014","0.8009903430938721","0.8009903430938721","0.8009903430938721"
"36","611","611","611","0.9362756013870239","0.9362756013870239","0.9362756013870239","1043","1043","1043","0.869502604007721","0.869502604007721","0.869502604007721"
