"train/global_step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - train/reward__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - train/reward__MAX"
"23","666","666","666","0.7329222559928894","0.7329222559928894","0.7329222559928894","390","390","390","0.8440590500831604","0.8440590500831604","0.8440590500831604"
"24","695","695","695","0.7785130739212036","0.7785130739212036","0.7785130739212036","407","407","407","0.810267448425293","0.810267448425293","0.810267448425293"
"25","724","724","724","0.7915406823158264","0.7915406823158264","0.7915406823158264","424","424","424","0.7631262540817261","0.7631262540817261","0.7631262540817261"
"26","753","753","753","0.7152674198150635","0.7152674198150635","0.7152674198150635","441","441","441","0.8713291883468628","0.8713291883468628","0.8713291883468628"
"27","782","782","782","0.8660932183265686","0.8660932183265686","0.8660932183265686","458","458","458","0.9529320001602173","0.9529320001602173","0.9529320001602173"
"28","811","811","811","0.7791706323623657","0.7791706323623657","0.7791706323623657","475","475","475","0.952789306640625","0.952789306640625","0.952789306640625"
"29","840","840","840","0.8293059468269348","0.8293059468269348","0.8293059468269348","492","492","492","0.9426783323287964","0.9426783323287964","0.9426783323287964"
"30","869","869","869","0.7317904233932495","0.7317904233932495","0.7317904233932495","509","509","509","0.9059127569198608","0.9059127569198608","0.9059127569198608"
"31","898","898","898","0.8294509649276733","0.8294509649276733","0.8294509649276733","526","526","526","0.9119747877120972","0.9119747877120972","0.9119747877120972"
"32","927","927","927","0.8384929895401001","0.8384929895401001","0.8384929895401001","543","543","543","0.9374088048934937","0.9374088048934937","0.9374088048934937"
"33","956","956","956","0.7357588410377502","0.7357588410377502","0.7357588410377502","560","560","560","0.9529317021369934","0.9529317021369934","0.9529317021369934"
"34","985","985","985","0.8510786294937134","0.8510786294937134","0.8510786294937134","577","577","577","0.9527760148048401","0.9527760148048401","0.9527760148048401"
"35","1014","1014","1014","0.8565001487731934","0.8565001487731934","0.8565001487731934","594","594","594","0.9678487777709961","0.9678487777709961","0.9678487777709961"
"36","1043","1043","1043","0.879071831703186","0.879071831703186","0.879071831703186","611","611","611","0.9371515512466431","0.9371515512466431","0.9371515512466431"
"37","1072","1072","1072","0.9189691543579102","0.9189691543579102","0.9189691543579102","628","628","628","0.9994009137153625","0.9994009137153625","0.9994009137153625"
"38","1101","1101","1101","0.9217991828918457","0.9217991828918457","0.9217991828918457","645","645","645","0.9836375713348389","0.9836375713348389","0.9836375713348389"
"39","1130","1130","1130","0.9219822883605957","0.9219822883605957","0.9219822883605957","662","662","662","0.9840308427810669","0.9840308427810669","0.9840308427810669"
"40","1159","1159","1159","0.9248360395431519","0.9248360395431519","0.9248360395431519","679","679","679","0.9837924838066101","0.9837924838066101","0.9837924838066101"
"41","1188","1188","1188","0.9162442088127136","0.9162442088127136","0.9162442088127136","696","696","696","0.9216046333312988","0.9216046333312988","0.9216046333312988"
"42","1217","1217","1217","0.8914342522621155","0.8914342522621155","0.8914342522621155","713","713","713","0.9681652784347534","0.9681652784347534","0.9681652784347534"
"43","1246","1246","1246","0.8996549844741821","0.8996549844741821","0.8996549844741821","730","730","730","0.9683339595794678","0.9683339595794678","0.9683339595794678"
"44","1275","1275","1275","0.935663104057312","0.935663104057312","0.935663104057312","747","747","747","0.9993034601211548","0.9993034601211548","0.9993034601211548"
"45","1304","1304","1304","0.9654581546783447","0.9654581546783447","0.9654581546783447","764","764","764","0.9640854597091675","0.9640854597091675","0.9640854597091675"
"46","1333","1333","1333","0.9221686124801636","0.9221686124801636","0.9221686124801636","781","781","781","0.9682543277740479","0.9682543277740479","0.9682543277740479"
"47","1362","1362","1362","0.9185623526573181","0.9185623526573181","0.9185623526573181","798","798","798","0.9374691247940063","0.9374691247940063","0.9374691247940063"
"48","1391","1391","1391","0.9261562824249268","0.9261562824249268","0.9261562824249268","815","815","815","0.9837313294410706","0.9837313294410706","0.9837313294410706"
"49","1420","1420","1420","0.9394830465316772","0.9394830465316772","0.9394830465316772","832","832","832","0.9991483688354492","0.9991483688354492","0.9991483688354492"
"50","1449","1449","1449","0.9370750188827515","0.9370750188827515","0.9370750188827515","849","849","849","0.9836384654045105","0.9836384654045105","0.9836384654045105"
"51","1478","1478","1478","0.9683746099472046","0.9683746099472046","0.9683746099472046","866","866","866","0.9836109280586243","0.9836109280586243","0.9836109280586243"
"52","1507","1507","1507","0.9530882835388184","0.9530882835388184","0.9530882835388184","883","883","883","0.9835988283157349","0.9835988283157349","0.9835988283157349"
"53","1536","1536","1536","0.9807831048965454","0.9807831048965454","0.9807831048965454","900","900","900","0.9682621955871582","0.9682621955871582","0.9682621955871582"
"54","1565","1565","1565","0.9547498226165771","0.9547498226165771","0.9547498226165771","917","917","917","0.9683668613433838","0.9683668613433838","0.9683668613433838"
"55","1594","1594","1594","0.9717243909835815","0.9717243909835815","0.9717243909835815","934","934","934","0.9524138569831848","0.9524138569831848","0.9524138569831848"
"56","1623","1623","1623","0.9684136509895325","0.9684136509895325","0.9684136509895325","951","951","951","0.9838048815727234","0.9838048815727234","0.9838048815727234"
"57","1652","1652","1652","0.9213437438011169","0.9213437438011169","0.9213437438011169","968","968","968","0.9835649728775024","0.9835649728775024","0.9835649728775024"
"58","1681","1681","1681","0.9995802044868469","0.9995802044868469","0.9995802044868469","985","985","985","0.9837260246276855","0.9837260246276855","0.9837260246276855"
"59","1710","1710","1710","0.968489408493042","0.968489408493042","0.968489408493042","1002","1002","1002","0.9681704044342041","0.9681704044342041","0.9681704044342041"
"60","1739","1739","1739","0.9655354619026184","0.9655354619026184","0.9655354619026184","1019","1019","1019","0.9988999962806702","0.9988999962806702","0.9988999962806702"
"61","1768","1768","1768","0.9840296506881714","0.9840296506881714","0.9840296506881714","1036","1036","1036","0.9991761445999146","0.9991761445999146","0.9991761445999146"
"62","1797","1797","1797","0.9686362743377686","0.9686362743377686","0.9686362743377686","1053","1053","1053","0.9986399412155151","0.9986399412155151","0.9986399412155151"
"63","1826","1826","1826","0.9996249675750732","0.9996249675750732","0.9996249675750732","1070","1070","1070","0.9673798084259033","0.9673798084259033","0.9673798084259033"
"64","1855","1855","1855","0.9996379613876343","0.9996379613876343","0.9996379613876343","1087","1087","1087","0.96824049949646","0.96824049949646","0.96824049949646"
"65","1884","1884","1884","0.9683715105056763","0.9683715105056763","0.9683715105056763","1104","1104","1104","0.9836193323135376","0.9836193323135376","0.9836193323135376"
"66","1913","1913","1913","0.999618411064148","0.999618411064148","0.999618411064148","1121","1121","1121","0.9836001396179199","0.9836001396179199","0.9836001396179199"
"67","1942","1942","1942","0.9967727065086365","0.9967727065086365","0.9967727065086365","1138","1138","1138","0.999284565448761","0.999284565448761","0.999284565448761"
"68","1971","1971","1971","0.9839715361595154","0.9839715361595154","0.9839715361595154","1155","1155","1155","0.9950527548789978","0.9950527548789978","0.9950527548789978"
"69","2000","2000","2000","0.9995567798614502","0.9995567798614502","0.9995567798614502","1172","1172","1172","0.9987770318984985","0.9987770318984985","0.9987770318984985"
"70","2029","2029","2029","0.9732964038848877","0.9732964038848877","0.9732964038848877","1189","1189","1189","0.9678680896759033","0.9678680896759033","0.9678680896759033"
"71","2058","2058","2058","0.9685921669006348","0.9685921669006348","0.9685921669006348","1206","1206","1206","0.999198317527771","0.999198317527771","0.999198317527771"
"72","2087","2087","2087","0.9841563701629639","0.9841563701629639","0.9841563701629639","1223","1223","1223","0.9989902377128601","0.9989902377128601","0.9989902377128601"
"73","2116","2116","2116","0.9810041785240173","0.9810041785240173","0.9810041785240173","1240","1240","1240","0.9833558201789856","0.9833558201789856","0.9833558201789856"
"74","2145","2145","2145","0.9995794296264648","0.9995794296264648","0.9995794296264648","1257","1257","1257","0.983603835105896","0.983603835105896","0.983603835105896"
"75","2174","2174","2174","0.9530239105224609","0.9530239105224609","0.9530239105224609","1274","1274","1274","0.9991514086723328","0.9991514086723328","0.9991514086723328"
"76","2203","2203","2203","0.9995195865631104","0.9995195865631104","0.9995195865631104","1291","1291","1291","0.9986821413040161","0.9986821413040161","0.9986821413040161"
"77","2232","2232","2232","0.9995590448379517","0.9995590448379517","0.9995590448379517","1308","1308","1308","0.9840291142463684","0.9840291142463684","0.9840291142463684"
"78","2261","2261","2261","0.9996120929718018","0.9996120929718018","0.9996120929718018","1325","1325","1325","0.9835418462753296","0.9835418462753296","0.9835418462753296"
"79","2290","2290","2290","0.9995880722999573","0.9995880722999573","0.9995880722999573","1342","1342","1342","0.9992983937263489","0.9992983937263489","0.9992983937263489"
"80","2319","2319","2319","0.983245849609375","0.983245849609375","0.983245849609375","1359","1359","1359","0.9840786457061768","0.9840786457061768","0.9840786457061768"
"81","2348","2348","2348","0.9996433258056641","0.9996433258056641","0.9996433258056641","1376","1376","1376","0.9995837211608887","0.9995837211608887","0.9995837211608887"
"82","2377","2377","2377","0.9903404712677002","0.9903404712677002","0.9903404712677002","1393","1393","1393","0.9831579923629761","0.9831579923629761","0.9831579923629761"
"83","2406","2406","2406","0.968731164932251","0.968731164932251","0.968731164932251","1410","1410","1410","0.9906924962997437","0.9906924962997437","0.9906924962997437"
"84","2435","2435","2435","0.99517422914505","0.99517422914505","0.99517422914505","1427","1427","1427","0.9681609869003296","0.9681609869003296","0.9681609869003296"
"85","2464","2464","2464","0.9902960062026978","0.9902960062026978","0.9902960062026978","1444","1444","1444","0.9586675763130188","0.9586675763130188","0.9586675763130188"
"86","2493","2493","2493","0.9841434955596924","0.9841434955596924","0.9841434955596924","1461","1461","1461","0.952599048614502","0.952599048614502","0.952599048614502"
"87","2522","2522","2522","0.9995602369308472","0.9995602369308472","0.9995602369308472","1478","1478","1478","0.9738147258758545","0.9738147258758545","0.9738147258758545"
"88","2551","2551","2551","0.999643087387085","0.999643087387085","0.999643087387085","1495","1495","1495","0.983588695526123","0.983588695526123","0.983588695526123"
"89","2580","2580","2580","0.9995914697647095","0.9995914697647095","0.9995914697647095","1512","1512","1512","0.983867347240448","0.983867347240448","0.983867347240448"
"90","2609","2609","2609","0.9996354579925537","0.9996354579925537","0.9996354579925537","1529","1529","1529","0.9993012547492981","0.9993012547492981","0.9993012547492981"
"91","2638","2638","2638","0.9996558427810669","0.9996558427810669","0.9996558427810669","1546","1546","1546","0.9680785536766052","0.9680785536766052","0.9680785536766052"
"92","2667","2667","2667","0.9996446371078491","0.9996446371078491","0.9996446371078491","1563","1563","1563","0.9653974771499634","0.9653974771499634","0.9653974771499634"
"93","2696","2696","2696","0.9996473789215088","0.9996473789215088","0.9996473789215088","1580","1580","1580","0.9988998770713806","0.9988998770713806","0.9988998770713806"
